Taxa,Genus,ClassName,ClassAlias
Chromulina sp 2,Chromulina,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chromulina sp 3,Chromulina,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chromulina sp1,Chromulina,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chroomonas acuta,Chroomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chroomonas acuta var1,Chroomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chroomonas sp,Chroomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Chrysochromulina sp,Chrysochromulina,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sociale var americana,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sociale var americanum,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp (large),Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp (medium),Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp (small),Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp2,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon sp5,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Dinobryon suecicum var longispinum,Dinobryon,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion doliolum,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion ovum,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 1,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 13,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 17,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 2,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 3,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 4,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 5,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp 6,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Kephyrion sp1,Kephyrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas cf crassisquama,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas elongata,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas pseudocornata,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp (medium),Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp (small),Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 1,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 2,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 3,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 4,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 5,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp 7,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp2,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Mallomonas sp6,Mallomonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 1,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 10,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 2,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 3,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 4,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 5,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 6,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 7,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 8,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Ochromonas sp 9,Ochromonas,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Pseudokephrion sp,Pseudokephrion,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Small microflagellates,Small,"Chryso- & Cryptophyte, Chryso-cryptophyte",Flagellates
Aulamonas purdyi,Aulamonas,Chrysophyta,Flagellates
Codosiga botrytis,Codosiga,Chrysophyta,Flagellates
Skeletonema potamos,Skeletonema,"Chrysophyta, Bacillariophyta","Flagellates, Diatoms"
Surirella linearis,Surirella,chrysophyte,Flagellates
"Surirella sp 3, single cells",Surirella,chrysophyte,Flagellates
unknown cell with lorica,NA,chrysophyte,Flagellates
unknown cell with neck and lorica,NA,chrysophyte,Flagellates
unknown epiphyte,NA,chrysophyte,Flagellates
"Unkown cell in a 'cup"" (unattached)",NA,chrysophyte,Flagellates
unkown Crysophyta sp,NA,chrysophyte,Flagellates
Chlamydocapsa,Chlamydocapsa,Chrysophyte,Flagellates
Chrysamoeba sp,Chrysamoeba,Chrysophyte,Flagellates
Desmarella moniliformis,Desmarella,Chrysophyte,Flagellates
Desmarella pyriforme,Desmarella,Chrysophyte,Flagellates
"Desmarella pyriforme, single cells",Desmarella,Chrysophyte,Flagellates
Desmarella sp,Desmarella,Chrysophyte,Flagellates
Crytomonas pusilla,Crytomonas,Cryptophyte,Flagellates
Gleocapsa sp,Gleocapsa,cyanobacteria,NA
unknown monad,NA,cyanobacteria,NA
Aphanocapsa sp,Aphanocapsa,Cyanobacteria,NA
Woronichinia sp,Woronichinia,Cyanobacteria,NA
Anabaena circinalis,Anabaena,Cyanophyte,Blue-greens
Anabaena flos-aquae,Anabaena,Cyanophyte,Blue-greens
Anabaena lemmermanii,Anabaena,Cyanophyte,Blue-greens
Anabaena sp,Anabaena,Cyanophyte,Blue-greens
Anabaena sp 1,Anabaena,Cyanophyte,Blue-greens
Anabaenopsis sp,Anabaenopsis,Cyanophyte,Blue-greens
Aphanizomenon  sp,Aphanizomenon,Cyanophyte,Blue-greens
Aphanothecae sp,Aphanothecae,Cyanophyte,Blue-greens
Aphanothece minutissimus,Aphanothece,Cyanophyte,Blue-greens
Chroococcus sp,Chroococcus,Cyanophyte,Blue-greens
Chroococcus sp (cells),Chroococcus,Cyanophyte,Blue-greens
Chroococcus sp 1 (cf C limnetica or RMOC C sp 5),Chroococcus,Cyanophyte,Blue-greens
Chroococcus sp 5,Chroococcus,Cyanophyte,Blue-greens
Chroococus sp,Chroococus,Cyanophyte,Blue-greens
Coelosphaeria sp,Coelosphaeria,Cyanophyte,Blue-greens
Gomphosphaeria sp,Gomphosphaeria,Cyanophyte,Blue-greens
Gomphosphaeria sp (colony),Gomphosphaeria,Cyanophyte,Blue-greens
Limnothrix redekei,Limnothrix,Cyanophyte,Blue-greens
Limnothrix redekei (cells),Limnothrix,Cyanophyte,Blue-greens
Limnothrix sp,Limnothrix,Cyanophyte,Blue-greens
Lyngbya sp,Lyngbya,Cyanophyte,Blue-greens
Merismopedia sp,Merismopedia,Cyanophyte,Blue-greens
Merismopedia sp (cells),Merismopedia,Cyanophyte,Blue-greens
Microcystis sp,Microcystis,Cyanophyte,Blue-greens
Microcystis sp (cells),Microcystis,Cyanophyte,Blue-greens
Oscillatoria limnetica,Oscillatoria,Cyanophyte,Blue-greens
Oscillatoria sp,Oscillatoria,Cyanophyte,Blue-greens
Oscillatoria sp2,Oscillatoria,Cyanophyte,Blue-greens
Planktolyngbya sp,Planktolyngbya,Cyanophyte,Blue-greens
Planktothrix agardhii,Planktothrix,Cyanophyte,Blue-greens
Planktothrix rubescens,Planktothrix,Cyanophyte,Blue-greens
Planktothrix sp,Planktothrix,Cyanophyte,Blue-greens
Pseudoanabaena sp,Pseudoanabaena,Cyanophyte,Blue-greens
Raphidiopsis,Raphidiopsis,Cyanophyte,Blue-greens
Synechococcus sp (<2 um),Synechococcus,Cyanophyte,Blue-greens
Synechococcus sp (coccoid),Synechococcus,Cyanophyte,Blue-greens
Synechococcus sp (rod),Synechococcus,Cyanophyte,Blue-greens
Synechocystis,Synechocystis,Cyanophyte,Blue-greens
Amphidinium,Amphidinium,Dinophyte,Dinoflagellates
Ceratium,Ceratium,Dinophyte,Dinoflagellates
Ceratium hirundinella,Ceratium,Dinophyte,Dinoflagellates
Gymnodinium cf helveticum (sp 3),Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium cinctum,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium helveticum,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium ordinatum,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp (large),Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp (medium),Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp (small),Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp 1,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp 2,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp 4,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp 5,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp1,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium sp2,Gymnodinium,Dinophyte,Dinoflagellates
Gymnodinium varians,Gymnodinium,Dinophyte,Dinoflagellates
Peridinium cinctum,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp 1,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp 2,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp 3,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp1,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp2,Peridinium,Dinophyte,Dinoflagellates
Peridinium sp4,Peridinium,Dinophyte,Dinoflagellates
Peridinium spp,Peridinium,Dinophyte,Dinoflagellates
Peridinium umbonatum,Peridinium,Dinophyte,Dinoflagellates
Aphanothece sp,Aphanothece,"Cyanobacteria, Cyanophyte",Blue-greens
Aulacoseira sp,Aulacoseira,"Bacillariophyta, Bacillariophyte",Diatoms
Bicoeca cylindrica,Bicoeca,Chrysophyta,NA
Chlamydomonas snowiae,Chlamydomonas,"Chlorophyta, Chrysophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Chlamydomonas sp8,Chlamydomonas,"Chlorophyta, Chrysophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Chlamydomonas sphagnicola,Chlamydomonas,"Chlorophyta, Chrysophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Chroococcus cf limnetica,Chroococcus,"Pyrrhophyta, Cyanobacteria, Chlorophyta, Cyanophyte",Blue-greens
Chroomonas sp small,Chroomonas,"Cryptophyta, Bacillariophyta, Chryso-cryptophyte, Chryso- & Cryptophyte",Flagellates
Coenocystic sp,Coenocystic,Bacillariophyta,NA
Cosmarium cf bipunctatum,Cosmarium,"Chlorophyta, Bacillariophyta, Chrysophyta, Pyrrhophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Crucigenia quadrata,Crucigenia,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Cryptomonas tenuis,Cryptomonas,"Cryptophyta, Chrysophyta, Chryso- & Cryptophyte",Flagellates
Cyclotella sp 5,Cyclotella,"Bacillariophyta, Chlorophyta, Bacillariophyte",Diatoms
Cyclotella sp 6,Cyclotella,"Bacillariophyta, Chlorophyta, Bacillariophyte",Diatoms
Cymbella affinis,Cymbella,"Bacillariophyta, Chrysophyta, Bacillariophyte",Diatoms
Diatoma heimale,Diatoma,"Chlorophyta, Bacillariophyta, Bacillariophyte",Diatoms
Diatoma sp 1,Diatoma,"Chlorophyta, Bacillariophyta, Bacillariophyte",Diatoms
Dinobyron sertularia,Dinobyron,"Chrysophyta, Bacillariophyta, Chlorophyta, Euglenophyta",NA
Euglena cf hemichromata,Euglena,"Euglenophyta, Bacillariophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Eunotia exigua,Eunotia,"Bacillariophyta, Chrysophyta, Bacillariophyte",Diatoms
Eutetramorus sp,Eutetramorus,Chlorophyta,NA
Fragilaria intermedia,Fragilaria,"Bacillariophyta, Bacillariophyte",Diatoms
Gomphonemas sp girdle view,Gomphonemas,Bacillariophyta,NA
Gomphosphaeria sp (cells),Gomphosphaeria,Cyanophyte,Blue-greens
Gymnodinium sp 9,Gymnodinium,"Pyrrophyta, Pyrrhophyta, Cryptophyta, Chrysophyta, Dinophyte",Dinoflagellates
Hannea sp,Hannea,"Bacillariophyta, Bacillariophyte",Diatoms
Kirchneriella irregularis,Kirchneriella,"Bacillariophyta, Chlorophyta, Cyanobacteria",NA
Kirchneriella lunaris,Kirchneriella,"Bacillariophyta, Chlorophyta, Cyanobacteria",NA
langerheimia cf contorta,langerheimia,Chlorophyta,NA
Mallomonas akrokomas,Mallomonas,"Chrysophyta, Chlorophyta, Chryso-cryptophyte, Chryso- & Cryptophyte",Flagellates
Mallomonas monad,Mallomonas,"Chrysophyta, Chlorophyta, Chryso-cryptophyte, Chryso- & Cryptophyte",Flagellates
Mallomonas tonsurata,Mallomonas,"Chrysophyta, Chlorophyta, Chryso-cryptophyte, Chryso- & Cryptophyte",Flagellates
Microcystis flos-aquae,Microcystis,"Cyanobacteria, Cyanophyte",Blue-greens
Microcystis sp 1,Microcystis,"Cyanobacteria, Cyanophyte",Blue-greens
Navicula Cryptocephala,Navicula,"Bacillariophyta, Bacillariophyte",Diatoms
Nephrocytium agardhianum,Nephrocytium,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Nitzschia cf sigmoidea,Nitzschia,"Bacillariophyta, Bacillariophyte",Diatoms
Nitzschia frustulum,Nitzschia,"Bacillariophyta, Bacillariophyte",Diatoms
"Nitzschia palea, large",Nitzschia,"Bacillariophyta, Bacillariophyte",Diatoms
Oocystis cf elliptica,Oocystis,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Oocystis lacustris,Oocystis,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Pediastrum sp (medium),Pediastrum,"Cyanobacteria, Chlorophyte","Coccoid Greens, Desmids, etc."
Phacus sp 1,Phacus,"Euglenophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Pinnularia sp (large),Pinnularia,Bacillariophyte,Diatoms
Rhizololenia monad,Rhizololenia,Bacillariophyta,NA
Scenedesmus acutum,Scenedesmus,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Scenedesmus linearis,Scenedesmus,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Schroederia sp 1,Schroederia,Chlorophyta,NA
Snowella litoralis,Snowella,"Cyanobacteria, Chlorophyta",NA
Snowella sp,Snowella,"Cyanobacteria, Chlorophyta",NA
Spondylosium planum,Spondylosium,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Staurastum cuspidata,Staurastum,Chlorophyta,NA
Stephanodiscus sp 1,Stephanodiscus,"Bacillariophyta, Chlorophyta, Bacillariophyte",Diatoms
Surirella sp,Surirella,"Bacillariophyta, Chrysophyta, Cyanobacteria",NA
Tetraedron minimum,Tetraedron,"Chlorophyta, Chlorophyte","Coccoid Greens, Desmids, etc."
Thorakochloris sp 1,Thorakochloris,Chlorophyta,NA
"unknown Chlorophyte, colonial, non-flagellate",NA,"Chlorophyta, Chrysophyta, Bacillariophyta, Cyanobacteria",NA
"unknown Chlorophyte, loose cells of GR SP2",NA,"Chlorophyta, Chrysophyta, Bacillariophyta, Cyanobacteria",NA
"unknown single cell chlorophtye, flagellate",NA,"Chlorophyta, Chrysophyta, Bacillariophyta, Cyanobacteria",NA
Unkown cell in a cup (unattached),NA,"Chlorophyta, Chrysophyta, Bacillariophyta, Cyanobacteria",NA
